Chain,Store Number,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source
Sheetz,275,39.658633,-80.000318,1,rooftop,1,Chaplin,Morgantown,WV,Monongalia County,26501,US,Statewide
Wawa,468,39.912875,-75.056244,1,rooftop,1,Haddon Ave,Collingswood,NJ,Camden County,08108,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,798,40.067532,-74.534848,1,rooftop,1,Maple Ave,New Egypt,NJ,Ocean County,08533,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,69,39.936913,-77.671451,1,rooftop,452,W Queen St,Chambersburg,PA,Franklin County,17201,US,Franklin
Wawa,322,39.722818,-74.860219,1,rooftop,1,White Horse Pike,Waterford Works,NJ,Camden County,08089,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sheetz,151,41.510938,-78.238049,1,rooftop,1,W 4th St,Emporium,PA,Cameron County,15834,US,Cameron
Wawa,149,40.171739,-75.071193,1,rooftop,10,Davisville Rd,Southampton,PA,Bucks County,18966,US,Bucks
Wawa,348,40.123423,-74.285069,1,rooftop,10,Manhattan St,Jackson,NJ,Ocean County,08527,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,282,40.259432,-75.729396,1,rooftop,10,Maplewood Dr,Douglassville,PA,Berks County,19518,US,Berks
Sheetz,583,40.667821,-77.60762,1,rooftop,10,Sheetz Dr,Reedsville,PA,Mifflin County,17084,US,Mifflin
Sheetz,264,38.286363,-77.43739,1,rooftop,10,Washington Square Plz,Fredericksburg,VA,Stafford County,22405,US,Stafford
Wawa,203,40.009049,-75.616244,1,rooftop,1436,Pottstown Park,West Chester,PA,Chester County,19380,US,Chester
Wawa,383,39.633887,-74.805595,1,rooftop,100,12th St,Hammonton,NJ,Atlantic County,08037,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,245,40.000682,-75.701211,1,rooftop,100,Boot Rd,Downingtown,PA,Chester County,19335,US,Chester
Wawa,253,40.067706,-75.310075,0.99,nearest_street,106,Spring Garden Ln,Conshohocken,PA,Montgomery County,19428,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,100,39.916145,-75.387982,0.99,nearest_street,249,S Monroe St,Media,PA,Delaware County,19063,US,TIGER/Line?? dataset from the US Census Bureau
Sheetz,623,35.978286,-77.973463,1,rooftop,479,W Washington St,Nashville,NC,Nash County,27856,US,Nash
Sheetz,79,40.949677,-78.963847,0.98,nearest_street,103,Elk Run Ave,Punxsutawney,PA,Jefferson County,15767,US,TIGER/Line?? dataset from the US Census Bureau
Wawa,8652,37.758779,-77.471887,1,rooftop,610,England St,Ashland,VA,Hanover County,23005,US,Virginia Geographic Information Network (VGIN)
Sheetz,223,40.626912,-80.228608,1,rooftop,100,Ohio River Blvd,Baden,PA,Beaver County,15005,US,Beaver
Wawa,289,39.75047,-76.022465,1,rooftop,100,Ponds Edge Dr,Nottingham,PA,Chester County,19362,US,Chester
Wawa,374,39.860455,-74.975613,1,rooftop,1607,E Evesham Rd,Voorhees,NJ,Camden County,08043,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Wawa,226,40.009263,-75.703748,1,rooftop,100,Wallace Ave,Downingtown,PA,Chester County,19335,US,Chester
Sheetz,114,40.809872,-79.516994,1,rooftop,100,Walnut St,Kittanning,PA,Armstrong County,16201,US,Armstrong
Wawa,8010,40.305826,-75.974616,0.99,rooftop,407,W Lancaster Ave,Reading,PA,Berks County,19607,US,Berks
Sheetz,65,40.343061,-78.933488,1,rooftop,917,Chestnut St,Johnstown,PA,Cambria County,15906,US,Cambria
Sheetz,397,35.605346,-77.372906,1,rooftop,1000,Charles Bv,Greenville,NC,Pitt County,27858,US,Pitt
Sheetz,376,40.320134,-79.942871,1,rooftop,1000,Clairton Blvd,Pittsburgh,PA,Allegheny County,15236,US,Allegheny
Wawa,265,39.976048,-75.30297,0.98,nearest_street,21,W Manoa Rd,Havertown,PA,Delaware County,19083,US,TIGER/Line?? dataset from the US Census Bureau
Sheetz,626,39.472359,-80.152363,0.98,nearest_street,400,10th St,Fairmont,WV,Marion County,26554,US,TIGER/Line?? dataset from the US Census Bureau
Sheetz,432,36.001639,-79.908076,1,rooftop,6020,W Gate City Blvd,Greensboro,NC,Guilford County,27407,US,City of Greensboro
Sheetz,534,35.386707,-77.94818,1,rooftop,1003,N Spence Ave,Goldsboro,NC,Wayne County,27534,US,NC Geographic Information Coordinating Council
Wawa,8513,39.416908,-77.438704,1,rooftop,1001,W Patrick St,Frederick,MD,Frederick County,21702,US,Frederick County
Sheetz,631,40.61897,-79.732161,1,rooftop,1002,California Ave,Natrona Heights,PA,Allegheny County,15065,US,Allegheny
